Year,GDP,Country
1990,208.1467554,Burundi
1991,209.7778979,Burundi
1992,190.489014,Burundi
1993,161.8875529,Burundi
1994,156.8123012,Burundi
1995,167.0989158,Burundi
1996,143.4023001,Burundi
1997,158.9146699,Burundi
1998,144.493064,Burundi
1999,128.9390833,Burundi
2000,136.4639708,Burundi
2001,134.3634475,Burundi
2002,123.117628,Burundi
2003,113.5673664,Burundi
2004,128.3366128,Burundi
2005,151.6814634,Burundi
2006,167.3764845,Burundi
2007,172.4958599,Burundi
2008,198.3529006,Burundi
2009,212.1368804,Burundi
2010,234.2356469,Burundi
2011,249.5779794,Burundi
2012,252.3589799,Burundi
2013,256.9760028,Burundi
2014,274.8579479,Burundi
2015,305.5497728,Burundi
2016,282.1931304,Burundi
2017,292.9976307,Burundi
2018,271.75044,Burundi
1990,349.8733576,Rwanda
1991,269.8501567,Rwanda
1992,302.738412,Rwanda
1993,314.7513543,Rwanda
1994,126.954723,Rwanda
1995,221.6287362,Rwanda
1996,229.886959,Rwanda
1997,288.409167,Rwanda
1998,285.7101918,Rwanda
1999,242.3140657,Rwanda
2000,218.6801627,Rwanda
2001,203.4568715,Rwanda
2002,199.0673298,Rwanda
2003,215.7489815,Rwanda
2004,240.6492936,Rwanda
2005,291.9966862,Rwanda
2006,353.215728,Rwanda
2007,417.916408,Rwanda
2008,517.057471,Rwanda
2009,557.1493973,Rwanda
2010,582.6941191,Rwanda
2011,645.7483207,Rwanda
2012,704.1777125,Rwanda
2013,704.9803025,Rwanda
2014,723.2819733,Rwanda
2015,728.0818794,Rwanda
2016,726.3479745,Rwanda
2017,762.9143746,Rwanda
2018,772.9444599,Rwanda